-356.56,-0.065958
-351.5,-0.052795
-346.44,-0.039631
-342.65,-0.029759
-335.9,-0.012208
-331.26,-0.00014139
-325.36,0.015216
-320.73,-0.19704
-317.35,-0.18827
-311.86,0.49897
-305.54,0.066772
-300.48,0.079935
-296.69,0.089808
-291.21,0.10407
-286.15,0.11723
-279.82,0.13369
-273.92,0.14904
-268.02,0.1644
-261.69,0.18085
-257.05,0.41724
-252.41,0.42931
-245.67,0.44686
-223.32,0.505
-207.72,0.54559
-198.44,0.56972
-182.42,0.83573
-168.08,1.0973
-158.79,1.7945
-152.46,2.4839
-147.39,2.9457
-142.76,2.9578
-138.96,3.192
-131.37,3.2117
-125.46,3.6757
-119.55,4.1397
-115.32,4.8237
-110.68,5.2844
-106.03,6.1937
-101.79,7.9993
-96.283,9.5838
-92.053,10.492
-88.661,11.847
-84.425,13.204
-79.778,13.889
-73.447,14.354
-67.94,16.163
-61.171,17.751
-56.513,19.109
-53.124,20.239
-50.15,21.817
-45.905,23.847
-44.614,25.645
-42.899,27.668
-41.598,30.139
-38.196,32.167
-37.318,34.636
-35.583,38.006
-33.449,39.806
-32.149,42.277
-29.58,44.975
-27.443,46.999
-26.149,49.022
-24.437,50.821
-21.044,52.175
-17.227,53.755
-13.416,54.887
-10.024,56.242
-7.8931,57.817
