-326.4,0.26184
-320.41,0.32728
-315.17,0.42579
-308.8,0.59021
-303.18,0.55668
-299.8,0.49035
-295.3,0.39092
-288.19,0.45625
-283.32,0.5218
-276.57,0.58717
-272.82,0.52081
-269.45,0.38848
-266.45,0.28919
-261.21,0.48671
-256.34,0.61827
-251.47,0.78282
-246.61,0.88137
-242.11,0.88095
-237.24,0.88049
-233.87,0.88017
-231.99,0.74798
-226.75,0.97851
-222.26,1.0441
-218.89,1.2418
-212.15,1.4392
-205.78,1.4056
-200.53,1.3721
-196.78,1.1737
-192.29,1.4373
-189.3,1.536
-187.79,1.3709
-184.43,1.7006
-180.69,1.7993
-173.95,1.9306
-166.84,2.227
-161.23,2.5895
-156.75,2.9191
-152.63,3.0837
-149.64,3.3145
-146.65,3.5452
-142.91,3.7759
-140.68,4.1387
-136.56,4.3033
-132.08,4.5999
-128.72,4.8967
-123.86,5.3582
-121.25,5.721
-119.39,6.0179
-116.03,6.4136
-113.05,6.7104
-109.69,7.1391
-105.2,7.2707
-100.32,7.2372
-96.957,7.3689
-92.831,7.2695
-88.708,7.2361
-85.709,7.2028
-80.47,7.4004
-75.227,7.4989
-69.244,7.8283
-63.632,8.0588
-55.761,8.0251
-47.142,8.0243
-40.773,8.0567
-35.91,8.2872
-32.184,8.848
-29.203,9.3097
-26.557,8.6824
-23.925,8.4511
-22.06,8.682
-16.807,8.5165
-16.039,8.0213
-13.025,7.592
-7.7717,7.3935
